wavelength_nm,lamp,model_no
184.91,Hg*,6035
194.17,Hg*,6035
226.22,Hg*,6035
237.83,Hg*,6035
248.2,Hg*,6035
253.65,Hg*,6035
265.2,Hg*,6035
275.28,Hg*,6035
280.35,Hg*,6035
289.36,Hg*,6035
296.73,Hg*,6035
302.15,Hg*,6035
312.57,Hg*,6035
313.17,Hg*,6035
334.15,Hg*,6035
336.99,Ne,6032
341.79,Ne†,6032
344.77,Ne†,6032
345.42,Ne,6032
346.66,Ne,6032
347.26,Ne†,6032
349.81,Ne,6032
350.12,Ne,6032
351.52,Ne,6032
352.05,Ne†,6032
355.43,Ar,6030
359.35,Ne†,6032
360.02,Ne,6032
363.37,Ne,6032
365.02,Hg*,6035
365.48,Hg*,6035
366.33,Hg*,6035
366.53,Kr,6031
367.96,Kr,6031
377.34,Kr,6031
394.9,Ar,6030
404.44,Ar,6030
404.66,Hg*,6035
407.78,Hg*,6035
415.86,Ar,6030
416.4,Ar,6030
418.19,Ar,6030
419.1,Ar,6030
419.8,Ar,6030
420.07,Ar,6030
425.12,Ar,6030
425.94,Ar,6030
426.63,Ar,6030
427.22,Ar,6030
427.4,Ar,6030
428.3,Kr,6031
430.01,Ar,6030
431.96,Kr,6031
432.0,Ar,6030
433.36,Ar,6030
433.92,Hg*,6035
434.52,Ar,6030
434.75,Hg*,6035
435.14,Kr,6031
435.84,Hg*,6035
436.26,Kr,6031
437.61,Kr,6031
440.0,Kr,6031
442.52,Kr,6031
445.39,Kr,6031
446.37,Kr,6031
450.1,Xe,6033
450.24,Kr,6031
452.47,Xe,6031
458.28,Xe,6033
462.43,Xe,6033
467.12,Xe,6033
469.7,Xe,6033
470.44,Ne,6032
473.42,Xe,6033
480.7,Xe,6033
482.97,Xe,6033
484.33,Xe,6033
491.6,Hg*,6035
491.65,Xe,6033
492.32,Xe,6033
502.83,Xe,6033
503.78,Ne,6032
508.04,Ne,6032
511.65,Ne,6032
514.5,Ne,6032
520.39,Ne,6032
533.08,Ne†,6032
534.11,Ne†,6032
534.33,Ne†,6032
540.06,Ne†,6032
546.07,Hg*,6035
549.09,Kr,6031
550.07,Kr,6031
556.22,Kr,6031
557.03,Kr,6031
558.04,Kr,6031
564.96,Kr,6031
565.67,Ne,6032
567.25,Kr,6031
574.83,Ne,6032
576.44,Ne,6032
576.96,Hg*,6035
579.07,Hg*,6035
580.45,Ne,6032
582.02,Ne,6032
583.29,Kr,6031
585.25,Ne,6032
587.09,Kr,6031
587.99,Kr,6031
588.19,Ne†,6032
590.25,Ne,6032
594.48,Ne†,6032
597.55,Ne†,6032
598.79,Ne,6032
599.39,Kr,6031
601.22,Kr,6031
603.0,Ne,6032
605.61,Kr,6031
607.43,Ne,6032
609.62,Ne,6032
612.85,Ne,6032
614.31,Ne,6032
616.36,Ne,6032
618.22,Ne,6032
618.24,Xe,6033
621.73,Ne,6032
626.65,Ne,6032
630.48,Ne,6032
631.81,Xe,6033
633.44,Ne,6032
638.3,Ne,6032
640.23,Ne,6032
641.63,Ar,6030
642.1,Kr,6031
645.63,Kr,6031
646.97,Xe,6033
650.65,Ne,6032
653.29,Ne,6032
659.9,Ne,6032
665.21,Ne,6032
666.89,Xe,6033
667.73,Ar,6030
667.83,Ne†,6032
669.92,Kr,6031
671.7,Ne,6032
672.8,Xe,6033
675.28,Ar,6030
681.31,Kr,6031
682.73,Xe,6033
687.13,Ar,6030
688.22,Xe,6033
690.47,Kr,6031
692.95,Ne,6032
693.77,Ar,6030
696.54,Ar,6030
702.41,Ne,6032
703.03,Ar,6030
703.24,Ne,6032
705.3,Ne,6032
705.91,Ne,6032
706.72,Ar,6030
711.96,Xe,6033
714.70,Ar,6030
717.39,Ne,6032
722.41,Kr,6031
724.52,Ne†,6032
727.29,Ar,6030
728.53,Xe,6033
728.98,Kr,6031
737.21,Ar,6030
738.4,Ar,6030
742.55,Kr,6031
743.89,Ne†,6032
747.24,Ne,6032
748.61,Kr,6031
748.89,Ne†,6032
750.39,Ar,6030
751.46,Ar,6030
753.58,Ne,6032
754.41,Ne,6032
758.47,Xe,6033
758.74,Kr,6031
760.15,Kr,6031
763.51,Ar,6030
764.2,Xe,6033
768.52,Kr,6031
769.45,Kr,6031
772.38,Ar,6030
774.68,Kr,6031
785.48,Kr,6031
791.34,Kr,6031
794.32,Ne,6032
794.82,Ar,6030
800.62,Ar,6030
801.48,Ar,6030
805.95,Kr,6031
808.25,Ne,6032
810.37,Ar,6030
810.44,Kr,6031
811.29,Kr,6031
811.53,Ar,6030
813.64,Ne,6032
819.01,Kr,6031
823.16,Xe,6033
826.32,Kr,6031
826.45,Ar,6030
828.01,Xe,6033
828.11,Kr,6031
829.81,Kr,6031
830.03,Ne,6032
834.68,Xe,6033
837.76,Ne,6032
840.82,Ar,6030
840.92,Xe,6033
841.84,Ne,6032
842.46,Ar,6030
849.54,Ne,6032
850.89,Kr,6031
877.67,Kr,6031
892.87,Kr,6031
